Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
J.J. Barea  ,    DAL  ,32,    6-0  ,185,    Northeastern  ,    Puerto Rico  ,      ,      ,      ,4,6.3,1.5,5,-19.2,0,6.6,20.6,35.8,27,
JJ Redick  ,    LAC  ,32,    6-4  ,190,    Duke  ,    USA  ,2006,1,11,6,13.5,2,0.8,-1.3,0.5,6.1,22.5,50.4,5.1,
JR Smith  ,    CLE  ,30,    6-6  ,225,    None  ,    USA  ,2004,1,18,21,11.5,3.2,1.4,11.8,1,8.4,12.8,61.3,5.5,
JaMychal Green  ,    MEM  ,26,    6-9  ,227,    Alabama  ,    USA  ,      ,      ,      ,4,6.8,3.8,0.8,-38.2,7.2,15.6,18.5,54.8,8.3,
JaVale McGee  ,    DAL  ,28,    7-0  ,270,    Nevada  ,    USA  ,2008,1,18,2,2,1.5,0,10.3,15.4,5.9,24.2,43.1,0,
Jae Crowder  ,    BOS  ,25,    6-6  ,235,    Marquette  ,    USA  ,2012,2,34,6,9.5,6.5,2.2,-3.7,2.2,16,18.1,37.1,11.3,
Jamal Crawford  ,    LAC  ,36,    6-5  ,195,    Michigan  ,    USA  ,2000,1,8,6,17.3,2.2,2.2,2.2,0.9,5.1,27.1,45.6,11.5,
James Harden  ,    HOU  ,26,    6-5  ,220,    Arizona State  ,    USA  ,2009,1,3,5,26.6,5.2,7.6,-21.4,3,10.4,30.8,55.5,42.2,
James Johnson  ,    TOR  ,29,    6-9  ,250,    Wake Forest  ,    USA  ,2009,1,16,10,3,1.5,0.6,-15.8,3,14.5,15.9,57,12.2,
James Jones  ,    CLE  ,35,    6-8  ,218,    Miami  ,    USA  ,2003,2,49,12,0.5,0.3,0.3,-5.7,1.9,4.9,10.7,25.5,10.3,
James Michael McAdoo  ,    GSW  ,23,    6-9  ,240,    North Carolina  ,    USA  ,      ,      ,      ,8,0.6,1,0.3,-13.2,0,20.5,8,43.4,8.3,
James Young  ,    BOS  ,20,    6-6  ,215,    Kentucky  ,    USA  ,2014,1,17,3,0.7,0,0,-10.5,0,0,18.2,33.3,0,
Jared Sullinger  ,    BOS  ,24,    6-9  ,260,    Ohio State  ,    USA  ,2012,1,21,6,5.2,4.5,1.2,-13.7,10.1,21.3,24.6,35.4,15.6,
Jarell Martin  ,    MEM  ,22,    6-10  ,239,    Louisiana State  ,    USA  ,2015,1,25,2,4.5,3.5,0.5,-30.6,8.2,7.9,13.7,42.3,3.8,
Jason Terry  ,    HOU  ,38,    6-2  ,185,    Arizona  ,    USA  ,1999,1,10,5,7,2.2,1.2,-26.1,0.7,8.9,14,44.5,7.9,
