Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Yuta Watanabe  ,    BKN  ,28,    6-8  ,215,    George Washington  ,    Japan  ,      ,      ,      ,1,3,1,0,-32.2,0,33.3,36.4,52.1,0,
Zeke Nnaji  ,    DEN  ,22,    6-9  ,240,    Arizona  ,    USA  ,2020,1,22,5,1,0.4,0,-20.9,0,11.8,19.2,62.5,0,
Ziaire Williams  ,    MEM  ,21,    6-9  ,185,    Stanford  ,    USA  ,2021,1,10,4,1.3,0.5,0.5,-40.7,0,18.2,30,35.7,40,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Player  ,    Team  ,    Age  ,    Height  ,    Weight  ,    COLLEGE  ,    COUNTRY  ,    DRAFT YEAR  ,    DRAFT ROUND  ,    DRAFT NUMBER  ,    GP  ,    PTS  ,    REB  ,    AST  ,    NETRTG  ,    OREB%  ,    DREB%  ,    USG%  ,    TS%  ,    AST%,
Aaron Gordon  ,    DEN  ,26,    6-8  ,235,    Arizona  ,    USA  ,2014,1,4,5,13.8,7.2,2.6,-7.1,11.1,12.1,19.3,52,11.7,
Aaron Holiday  ,    PHX  ,25,    6-0  ,185,    UCLA  ,    USA  ,2018,1,23,6,3.5,0.5,1.5,70.1,13.6,0,25,72.7,47.4,
Aaron Nesmith  ,    BOS  ,22,    6-5  ,215,    Vanderbilt  ,    USA  ,2020,1,14,15,0.8,1,0.2,1.4,7.4,17.7,16.9,32,10.3,
Al Horford  ,    BOS  ,36,    6-9  ,240,    Florida  ,    Dominican Republic  ,2007,1,3,23,12,9.3,3.3,5.9,4.3,20.9,12.7,66.3,14.3,
Alex Caruso  ,    CHI  ,28,    6-5  ,186,    Texas A&M  ,    USA  ,      ,      ,      ,4,6.3,2.8,4.3,-6.3,1.6,7.8,9.4,54.3,21.3,
Andre Drummond  ,    BKN  ,28,    6-10  ,279,    Connecticut  ,    USA  ,2012,1,9,4,3.8,3,0.8,-20.8,5.9,18.8,13.6,56.8,8.3,
Andre Iguodala  ,    GSW  ,38,    6-6  ,215,    Arizona  ,    USA  ,2004,1,9,7,1.6,1,1.7,-9.7,4.8,8.5,10.3,53.3,27.3,
Andrew Wiggins  ,    GSW  ,27,    6-7  ,197,    Kansas  ,    Canada  ,2014,1,1,22,16.5,7.5,1.8,9.3,7.1,13.5,20.4,54.4,7.5,
Anthony Edwards  ,    MIN  ,20,    6-4  ,225,    Georgia  ,    USA  ,2020,1,1,6,25.2,4.2,3,-4.1,1.8,8.1,26.4,60.4,15,
Armoni Brooks  ,    TOR  ,24,    6-3  ,195,    Houston  ,    USA  ,2019,      ,      ,4,0,0.5,0,-47.4,0,22.2,17.4,0,0,
Austin Rivers  ,    DEN  ,29,    6-4  ,200,    Duke  ,    USA  ,2012,1,10,5,4.2,0.6,1.2,-3.5,0,3,8.7,56.9,7.5,
Ayo Dosunmu  ,    CHI  ,22,    6-4  ,200,    Illinois  ,    USA  ,2021,2,38,5,4,2.6,2.2,-14.7,4.1,10.3,14.5,37.8,19.6,
Bam Adebayo  ,    MIA  ,24,    6-9  ,255,    Kentucky  ,    USA  ,2017,1,14,18,14.8,8,2.7,6.7,5.9,18.4,17.7,63.8,12.5,
Bismack Biyombo  ,    PHX  ,29,    6-8  ,255,    None  ,    DRC  ,2011,1,7,9,2.8,2.1,0.6,7.4,9.3,12.6,12.6,63.6,7.8,
Blake Griffin  ,    BKN  ,33,    6-9  ,250,    Oklahoma  ,    USA  ,2009,1,1,2,4,2,2,12.2,7.7,8.7,15.5,50.8,19,
Boban Marjanovic  ,    DAL  ,33,    7-3  ,290,    None  ,    Serbia  ,      ,      ,      ,3,1.3,1,0,-66.7,0,27.3,43.8,41,0,
Bobby Portis  ,    MIL  ,27,    6-10  ,250,    Arkansas  ,    USA  ,2015,1,22,12,10.6,10,0.8,2.4,7.4,29.5,19.5,50.9,4.7,
Bogdan Bogdanovic  ,    ATL  ,29,    6-6  ,225,    None  ,    Serbia  ,2014,1,27,4,14.3,4.8,3,-5.7,3.9,14,24.3,53.4,20.3,
Bojan Bogdanovic  ,    UTA  ,33,    6-7  ,226,    None  ,    Croatia  ,2011,2,31,6,18,4.2,1.7,-10.2,1.4,11.2,22.7,59,8.4,
Bones Hyland  ,    DEN  ,21,    6-2  ,169,    Virginia Commonwealth  ,    USA  ,2021,1,26,5,9.2,2,3.2,-1,1.2,11.4,23.8,54.6,30.2,
Brandon Clarke  ,    MEM  ,25,    6-8  ,215,    Gonzaga  ,    Canada  ,2019,1,21,12,12.3,6.9,2,2.4,10.5,15.5,16.8,64.5,13.3,
Brandon Ingram  ,    NOP  ,24,    6-8  ,190,    Duke  ,    USA  ,2016,1,2,6,27,6.2,6.2,0.1,1.7,16,28.2,58.4,26.2,
Brook Lopez  ,    MIL  ,34,    7-0  ,282,    Stanford  ,    USA  ,2008,1,10,12,10.6,5.9,0.7,-4.2,7.5,12.1,15.6,56.6,3.8,
Bruce Brown  ,    BKN  ,25,    6-4  ,202,    Miami  ,    USA  ,2018,2,42,4,14,4.8,2.8,-7.8,5,9.9,16.6,67.6,12.9,
Bryn Forbes  ,    DEN  ,28,    6-2  ,205,    Michigan State  ,    USA  ,      ,      ,      ,5,4,0.6,1.4,2.7,1.5,3.4,10.9,58.1,11.9,
CJ McCollum  ,    NOP  ,30,    6-3  ,190,    Lehigh  ,    USA  ,2013,1,10,6,22.2,6.7,4.8,-2.2,4.4,14.9,27.5,48.7,20.7,
Caleb Martin  ,    MIA  ,26,    6-5  ,205,    Nevada  ,    USA  ,      ,      ,      ,17,4.5,2.2,0.3,-7.2,5.5,11.8,18.9,46,4.1,
Cam Thomas  ,    BKN  ,20,    6-3  ,210,    Louisiana State  ,    Japan  ,2021,1,27,1,0,0,0,200,0,0,0,0,0,
Cameron Johnson  ,    PHX  ,26,    6-8  ,210,    North Carolina  ,    USA  ,2019,1,11,13,10.8,3.5,1.5,-2.2,3.1,11.7,17.4,61.9,8.7,
Cameron Payne  ,    PHX  ,27,    6-1  ,183,    Murray State  ,    USA  ,2015,1,14,13,4.2,1.5,2.1,-2.5,1.1,10.1,22.2,35.2,23.3,
Charles Bassey  ,    PHI  ,21,    6-9  ,230,    Western Kentucky  ,    Nigeria  ,2021,2,53,3,0.7,1.7,0.3,-11.3,6.3,30.8,6.3,41,11.1,
Chris Boucher  ,    TOR  ,29,    6-9  ,200,    Oregon  ,    Saint Lucia  ,      ,      ,      ,6,11.2,5.8,0.2,-0.2,8.6,23,16.3,72.2,1.2,
Chris Paul  ,    PHX  ,37,    6-0  ,175,    Wake Forest  ,    USA  ,2005,1,4,13,17.5,4.2,8.3,2,1.9,10.6,21.3,66.6,36.2,
Clint Capela  ,    ATL  ,28,    6-10  ,256,    None  ,    Switzerland  ,2014,1,25,2,2,7.5,0,-34.6,10.5,24.4,8.1,33.3,0,
Coby White  ,    CHI  ,22,    6-4  ,195,    North Carolina  ,    USA  ,2019,1,7,5,8.4,3.4,1.8,-22.7,0,16.8,23.2,44.5,18.4,
D'Angelo Russell  ,    MIN  ,26,    6-4  ,193,    Ohio State  ,    USA  ,2015,1,2,6,12,2.5,6.7,-1.7,0,7,20.3,45.5,32.8,
Dalano Banton  ,    TOR  ,22,    6-7  ,204,    Nebraska  ,    Canada  ,2021,2,46,4,1.8,0.5,0.3,-51.3,15.4,0,21.7,75.4,50,
Damion Lee  ,    GSW  ,29,    6-5  ,210,    Drexel  ,    USA  ,      ,      ,      ,16,2,1.6,0.4,-13.8,4.1,16.5,13.8,45.3,8.3,
Daniel Theis  ,    BOS  ,30,    6-9  ,245,    None  ,    Germany  ,      ,      ,      ,16,4.3,3.3,0.7,-8.4,6.7,18.6,14.3,63.3,9.4,
Danilo Gallinari  ,    ATL  ,33,    6-10  ,236,    None  ,    Italy  ,2008,1,6,5,10.2,4.2,0.8,-16.9,1.7,18.1,21.7,51.2,6.8,
Danny Green  ,    PHI  ,35,    6-6  ,215,    North Carolina  ,    USA  ,2009,2,46,12,8.6,3.1,0.8,4.5,3.3,8.9,15,57.6,5,
Danuel House Jr.  ,    UTA  ,29,    6-6  ,220,    Texas A&M  ,    USA  ,      ,      ,      ,6,4.3,2.8,0.7,2.5,2,12.2,12.7,50.9,5.2,
Davis Bertans  ,    DAL  ,29,    6-10  ,225,    None  ,    Latvia  ,2011,2,42,18,4.1,1.4,0.3,4.1,2.1,13.3,14.2,60.6,4.9,
Day'Ron Sharpe  ,    BKN  ,20,    6-9  ,265,    North Carolina  ,    USA  ,2021,1,29,1,0,0,0,200,0,0,0,0,0,
De'Andre Hunter  ,    ATL  ,24,    6-8  ,221,    Virginia  ,    USA  ,2019,1,4,5,21.2,3.8,0.6,-21.4,1.2,9.7,23.8,67.3,3.8,
De'Anthony Melton  ,    MEM  ,24,    6-2  ,200,    Southern California  ,    USA  ,2018,2,46,10,5.6,3.1,1.6,1.9,4.5,12.9,18.4,41.9,14.3,
DeAndre Jordan  ,    PHI  ,33,    6-11  ,265,    Texas A&M  ,    USA  ,2008,2,35,3,3.3,2.3,0.3,-54.2,4.3,23.1,11.1,100,5.3,
DeMar DeRozan  ,    CHI  ,32,    6-6  ,220,    Southern California  ,    USA  ,2009,1,9,5,20.8,5.4,4.8,-14.9,0.4,13,25.5,48.1,20.2,
DeMarcus Cousins  ,    DEN  ,31,    6-10  ,270,    Kentucky  ,    USA  ,2010,1,5,5,10.6,3.4,1.2,5.8,6.3,28.6,32.6,74.4,24,
Deandre Ayton  ,    PHX  ,23,    6-11  ,250,    Arizona  ,    Bahamas  ,2018,1,1,13,17.9,8.9,1.7,0,9.8,21.3,23.3,65.3,9.1,
Delon Wright  ,    ATL  ,30,    6-5  ,185,    Utah  ,    USA  ,2015,1,20,5,8.2,4.8,2.8,7.9,9.1,8.8,12.5,62.2,15.1,
Derrick Jones Jr.  ,    CHI  ,25,    6-6  ,210,    UNLV  ,    USA  ,      ,      ,      ,5,3.8,1.4,0.4,-19.8,4.3,6.8,15.1,51.9,5.4,
Derrick White  ,    BOS  ,27,    6-4  ,190,    Colorado  ,    USA  ,2017,1,29,23,8.5,3,2.7,1.5,1.4,9.9,17.1,49.4,16.3,
Desmond Bane  ,    MEM  ,24,    6-5  ,215,    TCU  ,    USA  ,2020,1,30,12,18.8,3.8,2.2,12.3,1,8.8,17.6,64.5,8.9,
Devin Booker  ,    PHX  ,25,    6-5  ,206,    Kentucky  ,    USA  ,2015,1,13,10,23.3,4.8,4.4,-2.4,3.1,10.2,28.6,58.7,19.8,
Devonte' Graham  ,    NOP  ,27,    6-1  ,195,    Kansas  ,    USA  ,2018,2,34,6,4,1.5,0.7,-3.2,3.8,13.5,18.8,55.8,9.5,
Dewayne Dedmon  ,    MIA  ,32,    7-0  ,245,    USC  ,    USA  ,      ,      ,      ,14,3.8,3,0.4,-1.2,10.5,21.4,17.5,52.7,5.5,
Dillon Brooks  ,    MEM  ,26,    6-7  ,225,    Oregon  ,    Canada  ,2017,2,45,11,14.6,2.7,2.7,6.3,2.1,6.1,24.6,44,13.4,
Donovan Mitchell  ,    UTA  ,25,    6-1  ,215,    Louisville  ,    USA  ,2017,1,13,6,25.5,4.3,5.7,-8.1,2.6,9.3,33.7,50.5,28.8,
Dorian Finney-Smith  ,    DAL  ,29,    6-7  ,220,    Florida  ,    USA  ,      ,      ,      ,18,11.7,5.5,1.9,4.3,4.9,10.4,12.8,63,7.6,
Draymond Green  ,    GSW  ,32,    6-6  ,230,    Michigan State  ,    USA  ,2012,2,35,22,8,7.2,6.3,7.4,3.8,17.4,13.6,53.4,25.6,
Duncan Robinson  ,    MIA  ,28,    6-7  ,215,    Michigan  ,    USA  ,      ,      ,      ,13,5.6,1.8,0.4,0.9,1.2,12.9,17.1,61.2,4.9,
Dwight Powell  ,    DAL  ,30,    6-10  ,240,    Stanford  ,    Canada  ,2014,2,45,18,3.2,2.6,0.2,4.6,7.5,11.5,10.1,64.3,2.3,
Elfrid Payton  ,    PHX  ,28,    6-3  ,195,    Louisana-Lafayette  ,    USA  ,2014,1,10,2,2,0,1.5,78.4,0,0,11.5,66.7,27.3,
Eric Paschall  ,    UTA  ,25,    6-6  ,255,    Villanova  ,    USA  ,2019,2,41,4,2,1.3,0,13.9,4.2,16,11.1,62.1,0,
Facundo Campazzo  ,    DEN  ,31,    5-10  ,195,    None  ,    Argentina  ,      ,      ,      ,4,0,0.8,0.5,-27.6,0,33.3,14.8,0,20,
Frank Ntilikina  ,    DAL  ,23,    6-4  ,200,    None  ,    France  ,2017,1,8,12,1.9,1,0.8,-4.2,1.5,7.9,10.8,47.1,11.8,
Fred VanVleet  ,    TOR  ,28,    6-1  ,197,    Wichita State  ,    USA  ,      ,      ,      ,4,13.8,3,6.3,-16,1.4,8.5,20,48.6,29.4,
Furkan Korkmaz  ,    PHI  ,24,    6-7  ,202,    None  ,    Turkey  ,2016,1,26,9,3.1,1.3,0.4,-5.6,1.5,16.2,16.7,58.6,10,
Gabe Vincent  ,    MIA  ,26,    6-3  ,200,    California-Santa Barbara  ,    USA  ,      ,      ,      ,18,8,1.9,3.2,9.3,0.7,7.5,16.5,51.5,19.3,
Garrett Temple  ,    NOP  ,36,    6-5  ,195,    Louisiana State  ,    USA  ,      ,      ,      ,1,0,1,0,-33.3,0,33.3,0,0,0,
Gary Payton II  ,    GSW  ,29,    6-3  ,195,    Oregon State  ,    USA  ,      ,      ,      ,12,6.5,3.1,1.3,11.5,6.7,11.1,12.2,75.1,11.1,
Gary Trent Jr.  ,    TOR  ,23,    6-5  ,209,    Duke  ,    USA  ,2018,2,37,6,15.3,1.7,1.3,-13.7,0.5,5.3,20.9,50.9,6.5,
George Hill  ,    MIL  ,36,    6-4  ,188,    Indiana-Purdue Indianapolis  ,    USA  ,2008,1,26,5,1,1.2,0.6,-19.5,1.3,6.2,3.9,42.5,5.8,
Georges Niang  ,    PHI  ,29,    6-7  ,230,    Iowa State  ,    USA  ,2016,2,50,12,4.8,1.5,0.9,4.9,2.4,6.7,12.8,59.3,8.4,
Giannis Antetokounmpo  ,    MIL  ,27,    6-11  ,242,    None  ,    Greece  ,2013,1,15,12,31.7,14.2,6.8,7.1,5.4,28.6,37.3,55.2,35.5,
Goran Dragic  ,    BKN  ,36,    6-3  ,190,    None  ,    Slovenia  ,2008,2,45,4,10.5,4.5,1.5,6.7,8.2,16.2,20.7,63.9,11.3,
Gorgui Dieng  ,    ATL  ,32,    6-10  ,248,    Louisville  ,    Senegal  ,2013,1,21,2,1.5,1.5,0,7.8,10,33.3,8,61.5,0,
Grant Williams  ,    BOS  ,23,    6-6  ,236,    Tennessee  ,    USA  ,2019,1,22,24,8.6,3.8,0.8,1.6,3.5,9.8,13.1,59.9,4.4,
Grayson Allen  ,    MIL  ,26,    6-4  ,198,    Duke  ,    USA  ,2018,1,21,12,8.3,2.9,1.3,-4.3,1.5,9.3,12.8,57.6,7.1,
Greg Monroe  ,    MIN  ,32,    6-10  ,250,    Georgetown  ,    USA  ,2010,1,7,2,2,1,0.5,-21.4,9.1,11.1,37.5,40,50,
Hassan Whiteside  ,    UTA  ,33,    7-0  ,265,    Marshall  ,    USA  ,2010,2,33,6,1.8,5.2,0,-17.8,13.1,33.8,9.8,40,0,
Haywood Highsmith  ,    MIA  ,25,    6-4  ,220,    Wheeling Jesuit  ,    USA  ,2018,      ,      ,8,1.1,0.6,0.4,12.1,6.3,8.1,13.7,64.3,13,
Herbert Jones  ,    NOP  ,23,    6-7  ,206,    Alabama  ,    USA  ,2021,2,35,6,10.7,3.3,1.8,-3.4,3.4,6.2,11.4,59.6,6.9,
Isaac Bonga  ,    TOR  ,22,    6-8  ,180,    None  ,    Germany  ,2018,2,39,1,2,1,0,0,0,33.3,11.1,113.6,0,
Isaiah Joe  ,    PHI  ,22,    6-4  ,165,    Arkansas  ,    USA  ,2020,2,49,7,0.7,0.3,0,44.8,0,10,19.5,50,0,
Ish Wainright  ,    PHX  ,27,    6-5  ,250,    Baylor  ,    USA  ,      ,      ,      ,7,1.9,1.6,0.1,26.1,21.2,16.7,18.8,54.2,4,
Ja Morant  ,    MEM  ,22,    6-3  ,174,    Murray State  ,    USA  ,2019,1,2,9,27.1,8,9.8,5.3,3.5,17.2,30.4,54.9,41.9,
JaMychal Green  ,    DEN  ,32,    6-8  ,227,    Alabama  ,    USA  ,      ,      ,      ,5,4,2.4,0.4,-12.8,4.8,13.6,13.4,52.4,4.9,
JaVale McGee  ,    PHX  ,34,    7-0  ,270,    Nevada  ,    USA  ,2008,1,18,12,6.8,4,0.6,-1,12.7,25.8,20.8,72.7,9,
Jaden McDaniels  ,    MIN  ,21,    6-9  ,185,    Washington  ,    USA  ,2020,1,28,6,9.3,2.8,0.7,6.6,3.8,8.6,14.5,71.3,4.4,
Jaden Springer  ,    PHI  ,19,    6-4  ,202,    Tennessee  ,    USA  ,2021,1,28,5,1.2,0.8,0.4,9.6,0,23.5,15.4,50,22.2,
Jae Crowder  ,    PHX  ,31,    6-6  ,235,    Marquette  ,    USA  ,2012,2,34,13,9.4,4.7,2.4,-1.2,2.4,14.1,16.1,52.4,10.9,
Jalen Brunson  ,    DAL  ,25,    6-1  ,190,    Villanova  ,    USA  ,2018,2,33,18,21.6,4.6,3.7,1.6,2.5,11.5,27.4,55.3,19.4,
Jalen Johnson  ,    ATL  ,20,    6-8  ,219,    Duke  ,    USA  ,2021,1,20,2,0,0,0,22.7,0,0,17.4,0,0,
James Harden  ,    PHI  ,32,    6-5  ,220,    Arizona State  ,    USA  ,2009,1,3,12,18.6,5.7,8.6,2.1,2.6,12,23.7,58.4,34.8,
Jared Butler  ,    UTA  ,21,    6-3  ,193,    Baylor  ,    USA  ,2021,2,40,1,0,1,0,36.4,0,16.7,16.7,0,0,
Jaren Jackson Jr.  ,    MEM  ,22,    6-11  ,242,    Michigan State  ,    USA  ,2018,1,4,12,15.4,6.8,0.9,6.2,6.6,15.4,23.8,51.6,5.2,
Jarred Vanderbilt  ,    MIN  ,23,    6-9  ,214,    Kentucky  ,    USA  ,2018,2,41,6,5.5,7.2,0.7,-7.5,9.3,22,11.6,52.5,4.9,
Jarrett Culver  ,    MEM  ,23,    6-6  ,195,    Texas Tech  ,    USA  ,2019,1,6,3,2.3,2.3,0.3,-42.3,7.4,22.7,23.6,32.2,9.1,
Javonte Green  ,    CHI  ,28,    6-5  ,205,    Radford  ,    USA  ,      ,      ,      ,5,1.4,3,0.4,2.5,9.5,8.9,12.4,19.6,3.3,
Jaxson Hayes  ,    NOP  ,22,    6-11  ,220,    Texas  ,    USA  ,2019,1,8,6,5.8,2.5,0.2,-17.1,4.7,15.3,17.4,58.6,1.9,
Jaylen Brown  ,    BOS  ,25,    6-6  ,223,    California  ,    USA  ,2016,1,3,24,23.1,6.9,3.5,4.4,3.7,13.8,26.5,58.1,16.7,
Jaylen Nowell  ,    MIN  ,22,    6-4  ,201,    Washington  ,    USA  ,2019,2,43,1,6,0,1,17.3,0,0,34.5,30,11.1,
Jayson Tatum  ,    BOS  ,24,    6-8  ,210,    Duke  ,    USA  ,2017,1,3,24,25.6,6.7,6.2,4.7,2.5,13.2,28.8,56.2,26.3,
Jeff Green  ,    DEN  ,35,    6-8  ,235,    Georgetown  ,    USA  ,2007,1,5,5,3.8,3.6,0.4,-9,6,9.7,7.7,49.5,2.2,
Jevon Carter  ,    MIL  ,26,    6-1  ,200,    West Virginia  ,    USA  ,2018,2,32,11,2.1,1.5,0.9,24.1,2.5,9.2,8.7,57.8,9.7,
Jimmy Butler  ,    MIA  ,32,    6-7  ,230,    Marquette  ,    USA  ,2011,1,30,17,27.4,7.4,4.6,7.7,6.3,14.3,28,60.4,22.9,
Joel Embiid  ,    PHI  ,28,    7-0  ,280,    Kansas  ,    Cameroon  ,2014,1,3,10,23.6,10.7,2.1,5,6.3,22,28.4,59,10.2,
John Collins  ,    ATL  ,24,    6-9  ,226,    Wake Forest  ,    USA  ,2017,1,19,5,9.4,4.6,1.2,-25.9,1.8,17.4,17.9,54.1,9,
John Konchar  ,    MEM  ,26,    6-5  ,210,    Indiana-Purdue Fort Wayne  ,    USA  ,      ,      ,      ,8,1.1,2.4,0.6,-32.1,4.8,27.6,9.8,37.9,16.7,
Jonas Valanciunas  ,    NOP  ,30,    6-11  ,265,    None  ,    Lithuania  ,2011,1,5,6,14.5,14.3,3,-4.7,19.1,36.8,22.2,54.8,16.8,
Jonathan Kuminga  ,    GSW  ,19,    6-7  ,225,    None  ,    DRC  ,2021,1,7,16,5.2,1.7,0.5,-11,3.2,16.2,25.5,58.1,9.8,
Jordan Clarkson  ,    UTA  ,30,    6-4  ,194,    Missouri  ,    USA  ,2014,2,46,6,17.5,3.2,1.3,-1.6,3.2,8.1,24.3,64.9,9.1,
Jordan McLaughlin  ,    MIN  ,26,    5-11  ,185,    Southern California  ,    USA  ,      ,      ,      ,5,6.2,2.4,3.4,-3.9,0,13.5,10.4,82.6,29.8,
Jordan Nwora  ,    MIL  ,23,    6-8  ,225,    Louisville  ,    USA  ,2020,2,45,8,0.5,0.4,0.3,-26.7,0,13.6,20,20.2,18.2,
Jordan Poole  ,    GSW  ,23,    6-4  ,194,    Michigan  ,    USA  ,2019,1,28,22,17,2.8,3.8,3,1.7,8,23.5,65.4,21.6,
Jose Alvarado  ,    NOP  ,24,    6-0  ,179,    Georgia Tech  ,    USA  ,      ,      ,      ,6,8,1.3,1.5,-9.8,1.6,6.3,17.1,62,13.8,
Josh Green  ,    DAL  ,21,    6-5  ,200,    Arizona  ,    Australia  ,2020,1,18,16,1.4,0.8,0.4,-8.4,0.7,10,11.4,36.5,9,
Josh Okogie  ,    MIN  ,23,    6-4  ,213,    Georgia Tech  ,    Nigeria  ,2018,1,20,1,0,0,0,26.7,0,0,0,0,0,
Jrue Holiday  ,    MIL  ,32,    6-3  ,205,    UCLA  ,    USA  ,2009,1,17,12,19.1,5.6,6.5,1.8,2.4,11.1,26,46.1,26.4,
Juan Toscano-Anderson  ,    GSW  ,29,    6-6  ,209,    Marquette  ,    USA  ,      ,      ,      ,14,0.8,0.7,0.6,-25.2,0,20.8,16,48.6,28.6,
Juancho Hernangomez  ,    UTA  ,26,    6-9  ,214,    None  ,    Spain  ,2016,1,15,6,2.3,2,0.8,5.5,3.6,14.7,15.3,38.9,14.7,
Juwan Morgan  ,    BOS  ,25,    6-7  ,232,    Indiana  ,    USA  ,      ,      ,      ,9,0.1,0.3,0,-12.9,11.1,6.3,5.6,26.6,0,
Karl-Anthony Towns  ,    MIN  ,26,    6-11  ,248,    Kentucky  ,    USA  ,2015,1,1,6,21.8,10.8,2.2,-3.1,5.1,23.6,24.6,64.2,9.6,
Kessler Edwards  ,    BKN  ,21,    6-7  ,203,    Pepperdine  ,    USA  ,2021,2,44,2,0,0,0.5,-25.4,0,0,5.9,0,33.3,
Kevin Durant  ,    BKN  ,33,    6-10  ,240,    Texas  ,    USA  ,2007,1,2,4,26.3,5.8,6.3,-8.1,1.3,12.5,30.8,52.6,22.5,
Kevin Huerter  ,    ATL  ,23,    6-7  ,198,    Maryland  ,    USA  ,2018,1,19,5,9.2,3,3.8,-18.3,0.6,9.3,18.2,47.2,20.2,
Kevin Knox II  ,    ATL  ,22,    6-7  ,215,    Kentucky  ,    USA  ,2018,1,9,2,11,1,0,22.7,0,33.3,65.2,92.6,0,
Kevon Looney  ,    GSW  ,26,    6-9  ,222,    UCLA  ,    USA  ,2015,1,30,22,5.8,7.6,2.2,7.7,13.4,22,10.8,66.2,14.5,
Khem Birch  ,    TOR  ,29,    6-9  ,233,    UNLV  ,    Canada  ,      ,      ,      ,6,3,1.5,0.5,5.1,6.5,9.8,14.1,56.3,6.4,
Khris Middleton  ,    MIL  ,30,    6-7  ,222,    Texas A&M  ,    USA  ,2012,2,39,2,14.5,5,7,0.7,1.3,11.4,20.9,57.3,33.3,
Klay Thompson  ,    GSW  ,32,    6-6  ,220,    Washington State  ,    USA  ,2011,1,11,22,19,3.9,2.3,1.4,0.9,9.6,22.2,55,9.5,
Kyle Anderson  ,    MEM  ,28,    6-9  ,230,    UCLA  ,    USA  ,2014,1,30,12,6,4.3,1.8,2.4,4.2,18.6,12.8,61.1,13,
Kyle Lowry  ,    MIA  ,36,    6-0  ,196,    Villanova  ,    USA  ,2006,1,24,10,7.8,3.6,4.7,2.4,1,12.7,17.1,41.3,23.7,
Kyrie Irving  ,    BKN  ,30,    6-2  ,195,    Duke  ,    Australia  ,2011,1,1,4,21.3,5.3,5.3,-3.3,4.1,9.6,21.5,58.8,18.4,
Landry Shamet  ,    PHX  ,25,    6-4  ,190,    Wichita State  ,    USA  ,2018,1,26,12,4.3,1.7,1.3,-6.9,1.6,9.7,12.9,50.9,10.6,
Larry Nance Jr.  ,    NOP  ,29,    6-7  ,245,    Wyoming  ,    USA  ,2015,1,27,6,9.2,5.8,1.8,4,14.1,13.4,15.8,62.7,13.3,
Luca Vildoza  ,    MIL  ,26,    6-3  ,190,    None  ,    Argentina  ,      ,      ,      ,7,0.7,0.3,0.6,-32.2,3.6,5.9,13.3,41.7,50,
Luka Doncic  ,    DAL  ,23,    6-7  ,230,    None  ,    Slovenia  ,2018,1,3,15,31.7,9.8,6.4,2.7,1.9,25.9,39.6,57.7,36.9,
Luke Kornet  ,    BOS  ,26,    7-2  ,250,    Vanderbilt  ,    USA  ,      ,      ,      ,9,0.8,0.6,0.1,19,4.8,19,11.6,87.5,10,
Malachi Flynn  ,    TOR  ,24,    6-1  ,175,    San Diego State  ,    USA  ,2020,1,29,6,0,0.5,0.5,2.7,4.5,3.3,8.8,0,9.4,
Malik Beasley  ,    MIN  ,25,    6-4  ,187,    Florida State  ,    USA  ,2016,1,19,6,8.5,3.3,0.7,-14.6,1.6,13.3,18.2,54.7,6.1,
Malik Fitts  ,    BOS  ,24,    6-5  ,230,    St. Mary's College  ,    USA  ,      ,      ,      ,9,0.9,0.2,0,35.5,0,10.5,12.5,100,0,
Marcus Smart  ,    BOS  ,28,    6-4  ,220,    Oklahoma State  ,    USA  ,2014,1,6,21,15.4,4.5,5.9,2.5,2.6,9.5,20.6,52.9,25.8,
Markieff Morris  ,    MIA  ,32,    6-9  ,245,    Kansas  ,    USA  ,2011,1,13,1,0,1,0,16.1,0,25,20,0,0,
Marquese Chriss  ,    DAL  ,24,    6-9  ,240,    Washington  ,    USA  ,2016,1,8,8,1.8,1.1,0,-25.1,12.5,17.2,16,65.8,0,
Matisse Thybulle  ,    PHI  ,25,    6-5  ,201,    Washington  ,    USA  ,2019,1,20,9,3,1,0.4,-15.5,1.6,5.3,8.9,53.3,5,
Max Strus  ,    MIA  ,26,    6-5  ,215,    DePaul  ,    USA  ,      ,      ,      ,18,10.9,4.1,2.1,9,2.8,11.7,17.7,51.6,10.8,
Maxi Kleber  ,    DAL  ,30,    6-10  ,240,    None  ,    Germany  ,      ,      ,      ,18,8.7,4.6,1.1,-1.2,3.3,16.7,12.8,68.1,6.9,
Mikal Bridges  ,    PHX  ,25,    6-6  ,209,    Villanova  ,    USA  ,2018,1,10,13,13.3,4.7,2.8,0.4,2.8,9.9,15.2,57.2,10.2,
Mike Conley  ,    UTA  ,34,    6-1  ,175,    Ohio State  ,    USA  ,2007,1,4,6,9.2,3.2,4.8,-8.5,1.1,10,19.4,43.2,29.6,
Monte Morris  ,    DEN  ,27,    6-2  ,183,    Iowa State  ,    USA  ,2017,2,51,5,14,2.2,5.4,-14.2,0.7,7.4,17.2,62.2,25.5,
Moses Moody  ,    GSW  ,20,    6-5  ,211,    Arkansas  ,    USA  ,2021,1,14,13,3.2,0.6,0.3,-1.3,2.4,6.4,14.7,66.9,5.6,
